ra ,dec,u,b,v,r,i,j,h,k
11.113,41.577,17.919,17.958,17.810,17.467,17.670,9999.000,9999.000,9999.000
10.699,42.007,18.708,18.498,17.810,17.296,16.740,16.011,15.211,15.278
10.436,41.774,18.700,18.650,17.810,17.370,16.870,15.898,14.826,14.952
11.000,41.387,19.360,18.730,17.810,17.190,16.410,15.678,15.000,14.703
10.551,41.300,20.138,19.090,17.817,16.740,15.800,14.630,13.741,13.675
10.174,40.641,19.615,19.011,17.824,17.001,16.068,14.924,14.225,13.964
10.704,41.303,19.242,18.728,17.827,17.050,16.409,9999.000,9999.000,9999.000
9.486,40.960,18.769,18.567,17.833,17.270,16.810,15.167,14.969,9999.000
10.436,40.856,18.808,18.330,17.840,17.640,17.270,9999.000,9999.000,9999.000
10.198,42.145,18.587,18.521,17.844,17.403,16.902,16.140,15.780,15.650
13.933,42.771,19.063,18.687,17.846,17.310,16.710,9999.000,9999.000,9999.000
10.514,40.971,20.002,19.075,17.851,16.932,16.312,14.765,13.969,13.711
11.072,40.560,18.585,18.505,17.856,17.374,16.919,15.260,15.377,9999.000
10.360,41.004,18.996,18.790,17.860,17.273,16.576,15.863,15.260,15.340
10.102,41.673,18.866,18.716,17.861,17.446,16.918,16.070,15.602,15.726
10.658,41.266,9999.000,18.180,17.865,16.990,16.771,14.248,13.526,13.364
9.879,41.474,18.748,18.593,17.866,17.371,16.897,15.237,16.408,9999.000
11.248,41.913,18.378,18.366,17.874,17.806,17.424,9999.000,9999.000,9999.000
10.747,41.071,18.739,18.580,17.877,9999.000,9999.000,9999.000,9999.000,9999.000
11.109,41.587,19.532,18.880,17.886,17.236,16.483,15.702,15.029,14.538
9.711,40.459,18.411,18.325,17.890,17.634,17.184,9999.000,9999.000,9999.000
9.594,41.910,18.562,18.548,17.898,17.350,16.940,16.343,15.641,15.303
11.440,41.765,18.665,18.560,17.910,17.892,17.200,16.979,15.782,16.019
11.199,41.853,17.851,18.189,17.924,18.035,17.749,15.349,14.830,9999.000
10.081,40.625,18.290,18.330,17.940,17.657,17.160,9999.000,9999.000,9999.000
10.826,41.208,19.451,18.980,17.940,17.290,16.630,15.348,14.667,14.552
10.702,41.263,18.551,18.222,17.941,17.290,17.876,9999.000,9999.000,9999.000
11.029,41.674,16.998,17.963,17.947,18.001,17.865,9999.000,9999.000,9999.000
11.003,41.287,18.851,18.726,17.950,17.455,16.570,15.170,15.009,9999.000
10.687,41.246,18.366,18.089,17.965,9999.000,16.888,9999.000,9999.000,9999.000
9.410,42.000,19.012,18.747,17.967,17.380,16.930,16.354,15.600,16.559
10.806,41.058,19.457,18.950,17.970,17.360,16.730,15.533,14.988,14.721
10.844,41.735,20.204,19.230,17.971,16.988,15.968,14.570,13.554,13.522
11.435,41.958,19.273,18.900,17.984,17.406,16.659,15.798,15.284,14.948
10.055,35.877,9999.000,19.026,17.990,17.933,17.150,9999.000,9999.000,9999.000
10.802,39.799,19.104,18.800,17.999,17.240,16.626,16.264,15.115,14.955
11.020,41.652,18.070,18.227,18.000,17.855,17.553,9999.000,9999.000,9999.000
10.812,41.027,18.620,18.570,18.020,17.550,17.050,9999.000,9999.000,9999.000
10.909,41.607,20.076,19.100,18.020,17.460,16.640,15.521,14.490,14.307
11.384,41.826,19.282,19.011,18.050,17.682,16.810,15.928,15.150,14.673
10.997,41.645,18.213,18.384,18.053,18.202,17.972,9999.000,9999.000,9999.000
11.369,41.501,18.805,18.731,18.059,17.567,16.932,9999.000,9999.000,9999.000
11.452,41.711,18.325,18.371,18.060,17.820,17.090,9999.000,9999.000,9999.000
10.561,42.027,18.910,18.769,18.060,17.420,17.010,15.448,9999.000,9999.000
10.283,40.884,19.299,19.010,18.077,17.487,16.795,16.359,15.357,15.897
11.196,42.092,18.506,18.508,18.078,17.810,17.186,9999.000,9999.000,9999.000
10.977,41.254,18.673,18.667,18.087,17.779,17.226,9999.000,9999.000,9999.000
10.046,40.603,18.010,18.392,18.092,17.917,17.558,9999.000,9999.000,9999.000
10.701,41.267,19.224,18.455,18.097,9999.000,17.183,9999.000,9999.000,9999.000
7.977,40.113,18.420,18.293,18.100,17.190,17.010,9999.000,9999.000,15.410
10.757,41.207,19.497,18.420,18.100,17.761,17.251,9999.000,9999.000,9999.000
11.475,41.794,19.100,18.620,18.100,18.050,17.393,9999.000,9999.000,9999.000
10.952,41.130,19.570,19.061,18.102,17.485,16.815,15.787,14.996,14.461
10.221,40.589,19.422,18.962,18.104,17.613,17.025,9999.000,9999.000,9999.000
11.369,41.825,19.011,18.903,18.110,18.111,17.570,9999.000,9999.000,9999.000
10.692,41.293,19.578,18.975,18.111,17.560,17.706,9999.000,14.072,13.883
11.202,42.104,19.329,18.976,18.117,17.591,16.755,15.121,9999.000,9999.000
10.188,40.999,20.344,19.200,18.130,16.930,16.291,14.607,13.749,13.435
7.376,41.842,9999.000,9999.000,18.130,9999.000,16.970,9999.000,9999.000,9999.000
12.297,41.123,19.131,18.888,18.131,17.890,17.107,15.528,14.918,9999.000
10.301,41.091,19.022,18.776,18.149,17.692,16.857,15.181,14.295,13.935
10.202,40.866,18.127,18.497,18.152,17.869,17.306,16.305,15.432,15.753
10.573,41.316,20.134,19.401,18.155,17.343,16.598,15.284,14.459,13.997
10.523,41.436,18.620,18.600,18.160,17.740,17.510,9999.000,9999.000,9999.000
10.302,41.020,20.060,19.286,18.162,17.421,16.302,15.092,14.393,13.994
10.500,40.809,18.955,18.729,18.164,17.747,17.073,16.127,15.476,15.660
10.065,40.667,18.241,18.554,18.168,17.927,17.487,9999.000,9999.000,9999.000
10.711,41.176,19.553,19.177,18.178,17.644,16.886,9999.000,9999.000,9999.000
10.935,41.624,18.529,18.491,18.186,18.013,17.648,9999.000,9999.000,9999.000
9.962,40.304,19.156,18.935,18.187,17.694,17.000,9999.000,9999.000,9999.000
10.564,41.327,9999.000,9999.000,18.190,9999.000,9999.000,9999.000,9999.000,9999.000
10.109,41.701,19.466,19.166,18.191,17.826,17.076,15.920,9999.000,14.890
10.856,41.620,19.973,19.520,18.200,17.500,16.610,14.704,14.396,9999.000
11.294,42.003,17.486,18.374,18.213,18.035,18.212,9999.000,9999.000,9999.000
9.878,40.306,19.514,19.092,18.224,17.632,16.909,9999.000,9999.000,9999.000
10.601,40.629,19.183,18.961,18.225,17.724,17.023,15.989,15.372,14.908
10.765,41.675,19.858,19.341,18.247,17.457,16.596,15.614,15.046,14.471
11.165,41.408,18.532,18.707,18.260,17.907,17.650,17.076,15.736,15.601
10.877,41.095,19.320,19.000,18.264,17.520,16.830,9999.000,14.911,9999.000
10.110,41.310,19.130,19.050,18.270,17.660,17.220,15.461,15.356,9999.000
10.404,40.790,19.010,18.840,18.281,17.934,17.415,9999.000,9999.000,9999.000
10.094,41.679,9999.000,9999.000,18.289,9999.000,16.990,9999.000,9999.000,9999.000
11.436,41.699,18.857,18.750,18.310,17.900,17.420,9999.000,9999.000,9999.000
10.261,40.579,18.627,18.751,18.314,18.277,18.164,9999.000,9999.000,9999.000
10.780,41.197,19.901,19.323,18.314,17.737,16.880,15.410,14.963,15.167
10.520,41.280,20.203,19.583,18.319,17.469,16.588,15.680,14.881,15.250
10.955,41.238,18.716,18.841,18.320,17.905,17.440,16.163,15.300,9999.000
11.110,41.649,19.011,18.942,18.320,18.083,17.260,9999.000,9999.000,9999.000
10.176,40.601,19.313,19.138,18.330,17.825,17.175,9999.000,9999.000,9999.000
10.449,41.015,19.907,19.070,18.340,17.650,16.950,15.488,14.754,14.610
10.292,40.970,19.372,19.130,18.388,17.908,17.262,15.206,9999.000,9999.000
11.453,41.806,19.267,19.158,18.390,18.432,17.680,9999.000,9999.000,9999.000
11.475,42.038,18.994,18.839,18.397,18.098,17.486,9999.000,9999.000,9999.000
9.706,42.380,19.331,19.158,18.399,17.817,17.070,16.276,15.121,15.012
11.308,41.707,18.636,18.702,18.400,18.170,18.010,9999.000,9999.000,9999.000
10.820,41.109,19.649,19.254,18.410,17.878,17.121,15.878,15.406,14.890
11.267,41.772,19.588,19.354,18.430,18.390,17.920,9999.000,9999.000,9999.000
10.996,41.612,19.549,19.221,18.433,17.927,17.240,16.568,15.377,15.994
10.218,40.899,19.840,19.371,18.437,17.824,17.016,9999.000,9999.000,9999.000
11.280,41.675,19.520,19.120,18.439,17.690,17.000,15.343,14.675,9999.000
10.688,41.138,19.468,19.343,18.439,17.917,17.353,9999.000,9999.000,9999.000
10.758,40.884,19.840,19.394,18.452,17.858,17.160,16.386,16.433,15.482
10.988,41.759,19.199,18.962,18.454,17.864,17.540,16.395,15.797,15.444
11.285,41.660,18.610,18.645,18.460,18.124,17.630,9999.000,9999.000,9999.000
10.846,41.424,19.744,19.420,18.463,17.858,17.304,9999.000,9999.000,9999.000
10.655,41.848,19.307,19.193,18.472,17.935,17.416,9999.000,9999.000,9999.000
10.193,40.861,18.989,19.020,18.483,18.258,17.848,9999.000,9999.000,9999.000
10.262,40.583,18.255,18.490,18.487,18.102,17.920,9999.000,9999.000,9999.000
11.360,41.944,9999.000,9999.000,18.490,9999.000,16.460,9999.000,9999.000,9999.000
11.070,41.238,20.202,19.120,18.500,18.669,17.260,9999.000,9999.000,9999.000
10.588,41.049,19.918,19.445,18.507,17.931,17.223,16.484,16.297,17.881
10.460,41.334,19.384,19.126,18.511,18.122,17.627,15.975,15.336,15.198
11.332,41.808,18.962,19.421,18.520,19.034,17.740,9999.000,9999.000,9999.000
10.469,41.114,9999.000,9999.000,18.520,9999.000,9999.000,9999.000,9999.000,9999.000
10.420,41.246,19.552,19.240,18.542,18.088,17.463,16.051,15.194,15.236
10.757,41.219,20.493,19.602,18.543,17.896,17.193,9999.000,9999.000,9999.000
11.117,41.736,19.939,19.350,18.549,17.723,16.964,15.400,14.493,14.296
10.960,41.490,19.679,19.374,18.550,17.830,17.020,9999.000,9999.000,9999.000
10.952,41.041,19.587,18.970,18.570,18.020,17.590,9999.000,9999.000,9999.000
11.386,41.725,20.032,19.602,18.570,18.259,17.145,16.145,9999.000,14.667
10.145,40.444,17.836,18.703,18.576,18.489,18.507,9999.000,9999.000,9999.000
10.670,40.298,19.591,19.389,18.579,17.902,17.215,9999.000,9999.000,9999.000
10.273,41.128,19.904,19.580,18.585,17.930,17.293,9999.000,9999.000,9999.000
10.261,41.110,19.463,19.336,18.588,18.077,17.412,9999.000,9999.000,9999.000
10.716,40.736,19.349,19.490,18.609,18.102,17.383,9999.000,9999.000,9999.000
10.302,41.164,20.050,19.209,18.614,18.243,17.730,9999.000,9999.000,9999.000
11.082,41.402,18.982,18.942,18.640,18.545,18.930,9999.000,9999.000,9999.000
11.142,41.351,19.322,19.214,18.640,18.692,18.270,9999.000,9999.000,9999.000
10.285,40.548,19.397,19.284,18.647,18.149,17.478,15.794,15.181,14.851
10.279,40.575,18.794,19.003,18.650,18.384,17.922,9999.000,9999.000,9999.000
11.079,41.353,19.136,19.057,18.650,18.495,17.840,9999.000,9999.000,9999.000
11.088,41.319,19.606,19.313,18.650,18.129,17.380,15.720,15.016,9999.000
10.666,41.344,19.920,19.560,18.652,18.053,17.411,9999.000,9999.000,9999.000
10.000,40.558,18.785,19.036,18.659,18.636,18.557,9999.000,9999.000,9999.000
11.092,41.561,19.812,19.546,18.660,18.674,18.290,9999.000,9999.000,9999.000
10.462,40.880,19.362,19.110,18.669,17.748,16.984,14.712,14.394,14.085
10.617,41.557,19.836,19.486,18.670,18.161,17.403,9999.000,9999.000,9999.000
10.156,40.813,18.882,19.043,18.672,18.455,17.998,9999.000,9999.000,9999.000
10.693,41.309,19.803,19.577,18.677,18.153,17.245,9999.000,9999.000,9999.000
10.583,41.638,19.988,19.582,18.695,18.065,17.482,9999.000,9999.000,9999.000
10.461,41.274,19.866,19.613,18.698,18.112,17.366,9999.000,9999.000,9999.000
10.781,41.459,20.545,19.910,18.698,17.897,17.142,14.843,9999.000,9999.000
11.169,41.502,19.498,19.293,18.710,18.438,18.310,9999.000,9999.000,9999.000
11.469,39.931,9999.000,19.341,18.728,18.362,17.780,9999.000,9999.000,9999.000
11.152,41.593,20.469,19.391,18.730,18.481,17.364,9999.000,9999.000,9999.000
10.254,41.109,19.480,19.439,18.745,18.257,17.526,9999.000,9999.000,9999.000
12.211,41.143,20.010,19.619,18.746,18.143,17.630,9999.000,9999.000,15.740
10.442,41.217,19.445,19.277,18.747,18.445,17.897,15.567,14.872,9999.000
10.914,41.522,20.198,19.656,18.749,18.131,17.401,9999.000,9999.000,9999.000
10.638,41.524,20.923,20.211,18.751,17.520,16.420,14.681,13.891,13.765
10.545,41.500,19.360,19.522,18.753,18.254,17.565,9999.000,9999.000,9999.000
10.618,41.574,20.387,19.830,18.754,18.043,17.350,9999.000,9999.000,9999.000
10.823,41.525,19.066,19.057,18.757,18.514,17.982,9999.000,9999.000,9999.000
11.292,41.815,9999.000,9999.000,18.760,9999.000,16.950,9999.000,9999.000,9999.000
9.506,42.068,19.833,19.554,18.768,18.257,17.729,9999.000,9999.000,9999.000
10.976,41.236,18.589,18.908,18.770,18.008,19.210,16.615,16.034,15.176
11.012,41.361,20.236,19.811,18.770,18.213,18.130,16.038,15.127,14.928
10.213,41.251,19.740,19.476,18.785,18.354,17.719,9999.000,9999.000,9999.000
11.280,41.622,19.421,19.589,18.785,18.470,18.048,9999.000,9999.000,9999.000
10.677,40.491,19.509,19.460,18.787,18.295,16.020,17.020,9999.000,9999.000
10.419,40.835,19.503,19.314,18.792,18.219,18.047,19.533,9999.000,9999.000
10.236,40.574,9999.000,19.148,18.801,18.593,18.238,9999.000,9999.000,9999.000
10.959,41.697,19.989,19.590,18.805,18.231,17.538,9999.000,9999.000,9999.000
10.586,41.077,20.158,19.741,18.808,18.248,17.590,15.568,9999.000,9999.000
10.800,41.047,19.234,19.344,18.810,18.665,18.816,9999.000,9999.000,9999.000
10.518,41.302,19.827,19.506,18.811,18.345,17.740,9999.000,9999.000,9999.000
10.647,41.296,20.569,20.053,18.821,18.129,17.433,9999.000,9999.000,14.178
10.766,41.341,20.394,19.577,18.828,17.827,16.857,15.877,15.201,15.372
11.097,41.584,19.400,19.265,18.830,18.553,18.600,9999.000,9999.000,9999.000
10.123,41.674,19.668,19.601,18.840,18.201,17.711,16.360,9999.000,9999.000
11.158,41.481,20.177,19.870,18.840,18.509,17.640,9999.000,9999.000,9999.000
10.196,40.683,19.872,19.663,18.843,18.294,17.632,9999.000,9999.000,9999.000
11.388,41.705,20.020,19.725,18.860,18.575,17.870,17.197,17.677,15.594
11.457,41.657,19.975,19.824,18.870,18.563,17.730,9999.000,9999.000,9999.000
11.274,41.984,19.882,19.659,18.890,18.345,17.498,9999.000,9999.000,9999.000
10.586,41.337,9999.000,9999.000,18.890,9999.000,9999.000,9999.000,9999.000,9999.000
11.101,41.566,19.390,19.362,18.900,18.716,18.150,9999.000,9999.000,9999.000
10.218,40.978,19.805,19.588,18.919,18.479,17.823,9999.000,9999.000,9999.000
10.643,41.292,19.879,19.642,18.922,18.474,18.104,9999.000,9999.000,9999.000
11.058,41.372,18.174,18.765,18.930,18.556,19.430,9999.000,9999.000,9999.000
11.131,41.501,20.044,20.004,18.940,19.404,19.470,9999.000,9999.000,9999.000
11.271,41.708,19.668,19.581,18.946,18.606,18.001,9999.000,9999.000,9999.000
10.199,40.926,19.347,19.422,18.958,18.902,9999.000,9999.000,9999.000,9999.000
11.236,41.882,20.306,19.873,18.958,18.402,17.682,9999.000,9999.000,9999.000
11.398,41.755,20.434,20.139,18.980,18.783,17.920,9999.000,9999.000,9999.000
10.380,40.770,19.516,19.400,18.986,18.752,18.319,9999.000,9999.000,9999.000
11.248,41.561,20.029,19.879,18.990,18.668,17.560,9999.000,9999.000,9999.000
11.317,41.723,20.404,20.416,18.990,19.942,18.930,9999.000,9999.000,9999.000
11.153,41.454,19.184,19.069,19.010,18.468,17.880,9999.000,9999.000,9999.000
11.324,41.683,20.097,20.094,19.010,19.361,18.610,9999.000,9999.000,9999.000
11.359,41.764,19.746,19.717,19.040,19.270,18.570,9999.000,9999.000,9999.000
10.691,41.458,20.322,19.969,19.047,18.562,18.101,9999.000,9999.000,9999.000
10.373,40.755,19.676,19.521,19.050,18.671,17.935,9999.000,9999.000,9999.000
10.193,41.684,20.315,19.974,19.050,18.330,17.720,16.650,9999.000,15.690
10.424,40.867,19.834,19.720,19.059,18.642,18.018,9999.000,9999.000,9999.000
10.809,41.146,19.834,19.623,19.062,18.589,17.710,9999.000,9999.000,9999.000
10.756,41.440,19.891,19.653,19.067,18.763,18.355,9999.000,9999.000,9999.000
10.271,41.477,21.039,20.296,19.079,18.327,17.698,9999.000,9999.000,9999.000
11.299,41.672,21.206,20.244,19.080,18.901,17.470,15.645,9999.000,9999.000
10.541,41.354,21.214,20.305,19.087,18.310,17.496,16.043,15.181,15.637
11.239,41.801,20.726,20.367,19.090,18.503,17.390,16.329,15.661,14.814
10.662,41.612,19.986,19.782,19.094,18.608,17.988,9999.000,9999.000,9999.000
10.317,41.086,20.426,20.052,19.119,18.473,17.583,16.037,15.697,14.811
11.259,41.828,20.713,19.977,19.130,18.565,17.779,9999.000,9999.000,9999.000
10.579,41.704,20.314,20.008,19.137,18.417,17.713,9999.000,9999.000,9999.000
12.061,41.489,20.747,20.076,19.137,18.573,18.086,9999.000,9999.000,9999.000
11.466,41.962,20.174,19.886,19.144,18.685,17.938,9999.000,9999.000,9999.000
11.260,41.993,19.974,19.902,19.162,18.616,17.836,9999.000,9999.000,9999.000
10.415,40.676,19.362,19.622,19.191,18.818,18.188,9999.000,9999.000,9999.000
11.297,41.822,20.373,20.354,19.200,19.691,17.970,9999.000,9999.000,9999.000
11.282,41.759,20.484,20.468,19.220,19.739,18.480,9999.000,9999.000,9999.000
11.820,41.053,19.684,19.841,19.241,18.715,18.288,9999.000,9999.000,9999.000
10.799,40.935,20.790,20.294,19.242,18.588,17.829,9999.000,9999.000,9999.000
9.146,41.019,20.055,19.939,19.249,18.805,18.378,9999.000,9999.000,9999.000
10.959,41.040,20.116,19.902,19.280,18.930,18.390,9999.000,9999.000,9999.000
10.245,40.573,19.490,19.615,19.295,19.018,18.484,9999.000,9999.000,9999.000
10.187,40.886,20.299,20.007,19.321,18.870,18.158,9999.000,9999.000,15.224
10.636,41.362,19.636,19.646,19.329,19.175,18.811,9999.000,9999.000,9999.000
10.471,40.877,20.092,19.895,19.330,18.946,18.303,9999.000,9999.000,9999.000
11.051,41.353,19.961,20.082,19.344,18.465,17.690,9999.000,9999.000,9999.000
10.733,41.054,20.340,20.053,19.346,18.938,18.499,9999.000,9999.000,9999.000
11.042,41.858,20.850,20.482,19.349,18.645,17.837,9999.000,9999.000,9999.000
11.406,41.670,20.690,20.410,19.350,19.338,18.590,9999.000,9999.000,9999.000
11.313,41.792,20.100,20.421,19.370,19.500,18.180,9999.000,9999.000,9999.000
10.566,41.335,9999.000,9999.000,19.370,9999.000,9999.000,9999.000,9999.000,9999.000
10.938,41.303,19.683,19.579,19.380,18.869,18.050,9999.000,9999.000,9999.000
10.716,41.368,21.643,20.658,19.396,18.635,17.886,9999.000,9999.000,14.861
10.353,40.601,20.584,20.245,19.400,18.807,18.105,9999.000,9999.000,9999.000
11.443,41.806,20.083,19.881,19.420,18.785,18.090,9999.000,9999.000,9999.000
11.149,41.633,20.902,20.463,19.424,18.747,17.854,9999.000,9999.000,9999.000
9.746,41.674,20.202,20.167,19.444,18.824,18.332,9999.000,9999.000,9999.000
11.034,41.398,9999.000,19.870,19.457,19.225,17.810,9999.000,9999.000,9999.000
11.326,41.827,20.829,20.418,19.465,18.772,18.032,15.895,15.898,14.526
11.236,41.916,20.756,20.314,19.466,18.957,18.191,9999.000,9999.000,9999.000
10.224,41.271,20.424,20.255,19.479,18.843,18.027,9999.000,9999.000,9999.000
11.324,41.698,20.560,20.496,19.500,19.920,19.030,15.854,15.350,14.746
10.487,40.776,9999.000,20.038,19.505,19.162,18.537,9999.000,9999.000,9999.000
11.982,41.459,20.574,20.245,19.506,19.064,18.577,9999.000,9999.000,9999.000
10.478,40.788,19.672,20.089,19.552,18.936,18.438,16.645,15.577,15.581
10.811,41.896,20.477,20.265,19.552,19.138,18.610,9999.000,9999.000,9999.000
11.367,41.701,20.055,19.766,19.570,18.837,18.591,9999.000,9999.000,9999.000
11.131,41.465,21.007,20.487,19.590,18.867,18.610,16.053,9999.000,9999.000
8.564,39.881,9999.000,20.002,19.620,18.768,18.380,9999.000,9999.000,15.660
10.644,41.311,20.685,20.547,19.627,19.115,18.728,9999.000,9999.000,9999.000
10.806,41.641,20.796,20.372,19.634,19.189,18.618,9999.000,9999.000,9999.000
9.061,40.966,9999.000,20.547,19.635,19.080,18.531,9999.000,9999.000,9999.000
11.143,41.387,20.779,20.601,19.640,19.514,19.010,9999.000,9999.000,9999.000
11.406,41.613,20.577,20.350,19.648,19.227,18.724,9999.000,9999.000,9999.000
10.865,41.208,9999.000,9999.000,19.660,9999.000,17.770,9999.000,9999.000,9999.000
10.232,40.590,19.453,19.993,19.675,19.408,18.848,9999.000,9999.000,9999.000
11.177,41.686,20.828,20.464,19.675,19.145,18.593,9999.000,9999.000,9999.000
10.114,41.707,9999.000,9999.000,19.691,9999.000,19.138,9999.000,9999.000,9999.000
10.992,41.359,20.290,20.169,19.730,19.598,20.170,9999.000,9999.000,9999.000
10.604,41.210,21.349,20.647,19.761,19.221,18.713,9999.000,9999.000,9999.000
9.995,40.590,20.003,20.318,19.767,19.327,18.575,9999.000,9999.000,9999.000
10.155,40.556,20.965,20.503,19.773,19.372,18.773,9999.000,9999.000,9999.000
10.224,40.614,20.999,20.567,19.775,19.131,18.359,9999.000,9999.000,9999.000
11.343,41.799,21.376,21.156,19.780,19.959,18.780,9999.000,9999.000,9999.000
11.228,41.481,20.429,20.319,19.829,19.586,18.926,9999.000,9999.000,9999.000
10.306,41.162,19.552,20.745,19.834,19.248,18.483,9999.000,9999.000,9999.000
11.163,41.741,21.344,20.838,19.840,19.526,18.746,9999.000,9999.000,9999.000
10.968,41.606,21.119,20.754,19.861,19.265,18.535,9999.000,9999.000,9999.000
10.212,40.677,21.490,20.860,19.862,19.219,18.616,9999.000,9999.000,9999.000
10.447,40.852,21.411,20.920,19.869,19.187,18.407,9999.000,9999.000,9999.000
10.850,41.645,21.116,20.815,19.883,19.312,18.441,9999.000,9999.000,9999.000
10.109,40.759,20.451,20.488,19.947,19.463,18.549,9999.000,9999.000,9999.000
11.262,41.784,21.722,21.075,19.950,19.355,18.200,9999.000,9999.000,9999.000
11.228,41.876,21.176,20.780,19.954,19.413,18.784,9999.000,9999.000,9999.000
10.827,40.990,21.206,20.847,19.967,19.433,18.754,9999.000,9999.000,9999.000
10.447,41.876,21.105,20.948,19.991,18.903,18.266,9999.000,9999.000,9999.000
10.943,41.658,22.180,21.119,20.011,18.895,18.411,9999.000,9999.000,9999.000
11.598,42.016,21.291,20.879,20.023,19.461,18.651,9999.000,9999.000,9999.000
10.581,40.873,21.123,20.852,20.102,19.576,18.851,9999.000,9999.000,9999.000
11.274,41.595,20.709,20.955,20.131,19.428,18.575,9999.000,9999.000,9999.000
10.474,40.836,20.719,20.658,20.277,20.187,20.099,9999.000,9999.000,9999.000
10.712,40.978,21.614,21.252,20.296,19.737,19.056,9999.000,9999.000,9999.000
11.175,41.961,9999.000,9999.000,20.380,9999.000,17.960,9999.000,9999.000,9999.000
10.132,40.769,21.783,21.210,20.385,19.619,18.682,9999.000,9999.000,9999.000
11.095,41.694,9999.000,9999.000,20.530,9999.000,18.230,9999.000,9999.000,9999.000
11.206,41.327,21.201,21.181,20.641,20.223,19.503,9999.000,9999.000,9999.000
9.640,41.748,18.222,18.349,999.000,17.365,0.000,9999.000,9999.000,9999.000
10.486,40.767,9999.000,9999.000,999.000,9999.000,9999.000,9999.000,9999.000,9999.000
10.439,41.208,18.750,19.551,19.185,18.945,18.373,9999.000,9999.000,9999.000
10.513,41.273,18.900,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
10.800,41.397,19.250,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
10.550,41.427,18.150,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
10.710,41.420,17.720,18.624,18.541,18.638,18.631,9999.000,9999.000,9999.000
8.628,41.562,18.590,18.810,17.750,17.420,16.420,15.851,14.733,14.424
8.730,41.541,18.930,18.430,17.360,16.740,15.860,14.933,14.111,13.947
9.368,41.596,19.680,18.575,17.451,16.754,16.091,15.141,14.667,14.179
9.153,41.618,19.370,18.967,17.887,17.219,16.568,15.695,15.019,14.983
11.098,42.075,17.370,18.140,18.050,15.690,9999.000,9999.000,9999.000,9999.000
12.316,40.773,19.280,18.849,17.683,16.961,16.273,15.457,14.589,14.311
12.323,40.752,19.680,18.811,17.578,16.811,16.100,15.034,14.330,13.858
12.372,41.076,20.220,19.053,17.889,17.171,16.511,15.508,14.542,14.474
12.580,40.967,19.010,19.679,18.429,17.659,16.978,15.739,14.785,14.371
8.643,40.047,21.361,20.565,19.332,18.572,17.905,16.571,15.315,15.267
8.838,41.926,21.031,20.139,18.776,17.915,17.111,15.989,15.464,14.579
8.939,39.656,21.128,20.305,19.132,18.402,17.741,16.428,15.797,15.631
9.001,40.939,21.807,20.892,19.525,18.678,17.950,16.833,15.753,15.051
9.377,40.612,20.349,19.393,18.166,17.408,16.736,15.658,14.650,14.295
9.399,40.588,21.302,20.596,19.144,18.250,17.552,16.065,9999.000,14.602
10.078,40.521,19.996,19.921,18.633,17.812,16.931,9999.000,9999.000,9999.000
10.121,41.705,20.073,19.898,19.106,18.572,18.058,9999.000,9999.000,9999.000
10.147,41.792,20.254,21.130,19.868,19.107,18.563,9999.000,9999.000,9999.000
10.214,41.713,23.117,21.862,20.104,19.023,18.283,9999.000,9999.000,9999.000
10.244,41.131,21.266,21.704,20.117,19.147,18.457,9999.000,9999.000,9999.000
10.356,40.515,19.445,21.416,19.903,18.957,18.146,9999.000,9999.000,9999.000
10.569,41.413,22.016,20.704,19.311,18.447,17.739,9999.000,9999.000,9999.000
10.570,41.405,20.239,20.286,19.670,19.238,18.813,9999.000,9999.000,9999.000
10.604,40.608,23.065,23.014,22.319,21.842,21.377,9999.000,9999.000,9999.000
10.737,40.503,21.351,20.923,19.702,18.946,18.256,9999.000,9999.000,9999.000
10.839,41.323,18.904,20.230,19.128,18.435,17.686,9999.000,9999.000,9999.000
10.846,42.028,20.680,19.951,18.846,18.141,17.356,9999.000,9999.000,9999.000
10.862,40.417,21.278,20.885,19.919,19.285,18.683,9999.000,9999.000,9999.000
11.111,40.713,21.465,20.868,19.401,18.497,17.774,16.429,16.074,14.902
11.378,40.800,21.416,20.541,19.368,18.648,18.005,9999.000,9999.000,9999.000
11.389,40.286,20.343,20.149,19.309,18.782,18.126,9999.000,9999.000,9999.000
11.475,39.946,20.874,20.581,19.176,18.277,17.351,16.112,15.297,15.183
11.580,40.395,21.637,21.351,20.362,19.785,19.423,9999.000,9999.000,9999.000
11.759,41.182,20.859,20.199,19.077,18.387,17.728,9999.000,9999.000,9999.000
11.810,40.427,20.443,19.797,18.680,17.988,17.291,15.982,15.376,14.773
12.111,41.330,21.579,20.465,19.739,19.281,18.626,9999.000,9999.000,9999.000
12.114,41.105,22.561,21.275,19.889,19.049,18.477,9999.000,9999.000,9999.000
12.273,41.961,21.214,20.514,18.948,17.989,17.283,16.093,15.140,14.805
12.573,42.112,20.732,20.301,19.205,18.534,17.901,16.171,16.404,15.427
8.316,40.007,20.901,20.026,18.627,17.770,17.091,16.023,15.110,14.400
8.396,40.138,19.720,20.635,19.266,18.407,17.591,9999.000,9999.000,9999.000
8.409,39.593,21.343,20.124,18.788,17.956,17.221,16.082,15.083,14.957
8.478,39.577,21.067,20.167,18.592,17.614,16.842,15.454,14.807,14.204
