,ac age,fu,fb,fv,fr,fi,fj,fh,fk,nuv,enuv,fuv,efuv,Vr
1658,other class,6,6,6,6,6,0,9,9,999.00,999.00,999.00,999.00,-129.00
1659,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,-75.00
1660,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1661,other class,7,7,7,7,7,9,9,9,20.46,0.03,21.05,0.06,-352.00
1662,other class,6,6,6,6,6,0,0,0,999.00,999.00,21.45,0.11,-45.00
1663,other class,5,7,7,7,7,5,5,5,19.37,0.01,999.00,999.00,-43.00
1664,other class,7,7,7,7,7,9,9,9,21.63,0.13,999.00,999.00,99999.00
1665,other class,7,7,7,7,7,9,9,9,20.12,0.05,19.97,0.06,99999.00
1666,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-9.00
1667,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1668,other class,7,7,7,7,7,0,0,0,21.41,0.08,21.99,0.14,-240.00
1669,other class,6,7,6,6,6,0,0,9,20.51,0.06,21.26,0.12,-252.00
1670,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-164.00
1671,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-68.00
1672,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,99999.00
1673,other class,5,7,7,7,7,9,9,9,22.27,0.08,999.00,999.00,99999.00
1674,other class,5,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-2.00
1675,other class,7,7,7,7,7,0,9,9,999.00,999.00,999.00,999.00,99999.00
1676,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-27.00
1677,other class,6,6,6,6,6,0,0,9,999.00,999.00,999.00,999.00,4.00
1678,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,-32.00
1679,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,99999.00
1680,other class,5,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,99999.00
1681,other class,6,6,6,7,6,0,9,9,22.26,0.11,999.00,999.00,99999.00
1682,other class,7,7,7,7,7,9,9,9,22.56,0.15,999.00,999.00,-108.00
1683,other class,5,7,7,7,7,9,9,9,22.10,0.05,999.00,999.00,99999.00
1684,other class,5,7,7,7,7,9,9,9,22.20,0.05,999.00,999.00,-71.00
1685,other class,5,7,7,7,7,9,9,9,22.19,0.05,999.00,999.00,-99.00
1686,other class,6,6,6,6,6,0,0,0,20.75,0.03,999.00,999.00,99999.00
1687,other class,7,7,7,7,7,0,0,9,999.00,999.00,999.00,999.00,-73.00
1688,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-73.00
1689,other class,5,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-9.00
1690,other class,7,7,7,7,7,0,0,0,22.99,0.18,999.00,999.00,-75.00
1691,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-91.00
1692,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-66.00
1693,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1694,other class,7,7,7,7,7,9,9,9,21.34,0.08,999.00,999.00,-71.00
1695,other class,5,7,7,7,7,0,0,0,22.19,0.07,22.12,0.09,7.00
1696,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-80.00
1697,other class,7,7,7,7,7,5,5,5,20.84,0.04,999.00,999.00,-26.00
1698,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-46.00
1699,other class,7,7,7,7,7,0,0,9,999.00,999.00,999.00,999.00,-68.00
1700,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-24.00
1701,other class,7,7,7,7,7,0,0,9,999.00,999.00,999.00,999.00,-13.00
1702,other class,7,7,7,7,7,0,0,0,21.02,0.07,999.00,999.00,-9.00
1703,other class,5,5,5,5,5,0,0,0,999.00,999.00,999.00,999.00,-9.00
1704,other class,5,5,5,5,5,0,0,0,999.00,999.00,999.00,999.00,-25.00
1705,other class,5,5,5,5,5,0,0,0,999.00,999.00,999.00,999.00,-19.00
1706,other class,5,5,5,5,5,0,0,0,999.00,999.00,999.00,999.00,-28.00
1707,other class,5,5,5,5,5,9,9,9,21.33,0.06,21.56,0.15,-60.00
1708,other class,5,5,5,5,5,0,9,0,999.00,999.00,999.00,999.00,-19.00
1709,other class,5,5,5,5,5,0,0,0,999.00,999.00,999.00,999.00,-42.00
1710,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-183.00
1711,other class,5,5,5,5,5,9,9,9,17.92,0.01,18.49,0.02,-266.00
1712,other class,5,5,5,5,5,0,0,0,21.47,0.07,22.06,0.19,99999.00
1713,other class,5,5,5,5,5,0,0,0,999.00,999.00,21.99,0.07,-61.00
1714,other class,5,5,5,5,5,5,5,5,23.73,0.32,999.00,999.00,-240.00
1715,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-316.00
1716,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-105.00
1717,other class,5,5,5,5,5,9,9,9,21.47,0.13,21.72,0.18,-511.00
1718,other class,5,5,5,5,5,5,5,5,20.49,0.08,20.90,0.07,-223.00
1719,other class,5,5,5,5,5,9,9,9,21.83,0.09,22.16,0.13,-538.00
1720,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-297.00
1721,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,-221.00
1722,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-382.00
1723,other class,5,5,5,5,5,9,9,9,21.87,0.08,22.01,0.11,-140.00
1724,other class,5,5,5,5,5,5,5,5,21.55,0.04,21.87,0.06,-114.00
1725,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-8.00
1726,other class,5,5,5,5,5,9,9,9,23.28,1.00,999.00,999.00,-76.00
1727,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-176.00
1728,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-890.00
1729,other class,5,5,5,5,5,9,9,9,24.12,0.77,999.00,999.00,-21.00
1730,other class,5,5,5,5,5,5,5,5,20.18,0.04,999.00,999.00,-397.00
1731,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,-252.00
1732,other class,6,6,6,6,5,9,9,9,999.00,999.00,999.00,999.00,-49.00
1733,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1734,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1735,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1736,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1737,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1738,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1739,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1740,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1741,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1742,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1743,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1744,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1745,other class,6,6,6,6,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1746,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1747,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1748,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1749,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1750,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1751,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1752,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1753,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1754,other class,6,6,6,6,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1755,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1756,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1757,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1758,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1759,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1760,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1761,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1762,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1763,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1764,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1765,other class,6,6,6,6,6,9,9,9,20.17,0.06,20.34,0.08,99999.00
1766,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1767,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1768,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1769,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1770,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1771,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1772,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1773,other class,5,5,5,5,5,9,9,9,20.57,0.06,20.48,0.06,99999.00
1774,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1775,other class,5,5,5,5,5,9,9,5,999.00,999.00,999.00,999.00,99999.00
1776,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1777,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1778,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1779,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1780,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1781,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1782,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1783,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1784,other class,6,6,6,6,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1785,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1786,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1787,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1788,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1789,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1790,other class,6,6,6,6,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1791,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1792,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,99999.00
1793,other class,6,6,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1794,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1795,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1796,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1797,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1798,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1799,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,-90.00
1800,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1801,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,1.00
1802,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1803,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1804,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1805,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1806,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1807,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1808,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1809,other class,5,5,5,5,5,9,9,9,999.00,999.00,19.89,0.03,99999.00
1810,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1811,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1812,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1813,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1814,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1815,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1816,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1817,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1818,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1819,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-71.00
1820,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,-23.00
1821,other class,5,5,5,5,5,0,0,0,999.00,999.00,999.00,999.00,-67.00
1822,other class,5,5,5,5,5,0,0,0,999.00,999.00,999.00,999.00,-22.00
1823,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1824,young clster,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-6.00
1825,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1826,other class,6,5,6,6,6,9,9,9,999.00,999.00,20.73,0.09,-514.00
1827,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1828,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-88.00
1829,other class,6,6,6,6,6,0,0,0,16.81,0.01,999.00,999.00,-74.00
1830,other class,9,9,30,9,9,9,9,9,999.00,999.00,999.00,999.00,99999.00
1831,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,-17.00
1832,other class,6,6,6,6,6,0,0,0,20.86,0.10,999.00,999.00,-187.00
1833,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-8.00
1834,other class,6,6,6,6,9,9,9,9,999.00,999.00,999.00,999.00,-276.00
1835,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-21.00
1836,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-26.00
1837,other class,6,6,6,6,6,0,0,0,16.70,0.01,999.00,999.00,99999.00
1838,other class,9,9,30,9,9,0,0,0,999.00,999.00,999.00,999.00,-70.00
1839,other class,6,6,6,6,9,9,9,9,999.00,999.00,999.00,999.00,99999.00
1840,other class,9,9,9,9,9,0,0,0,999.00,999.00,999.00,999.00,-50.00
1841,other class,6,6,6,6,6,0,0,9,22.15,0.07,999.00,999.00,-54.00
1842,other class,9,9,9,9,9,9,9,9,21.41,0.08,22.38,0.19,99999.00
1843,other class,6,6,6,6,9,5,5,5,18.65,0.02,999.00,999.00,-8.00
1844,other class,9,9,30,9,9,0,0,0,999.00,999.00,999.00,999.00,-118.00
1845,other class,9,9,9,9,9,0,0,0,999.00,999.00,999.00,999.00,-92.00
1846,other class,6,6,6,6,9,0,0,0,999.00,999.00,999.00,999.00,-9.00
1847,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,99999.00
1848,other class,9,9,9,9,9,0,0,0,999.00,999.00,999.00,999.00,-181.00
1849,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,-200.00
1850,other class,6,6,6,6,9,0,0,0,999.00,999.00,999.00,999.00,22.00
1851,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,-23.00
1852,other class,9,9,9,9,9,0,0,0,999.00,999.00,999.00,999.00,-22.00
1853,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,99999.00
1854,interm cluster,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,99999.00
1855,interm cluster,6,6,6,6,9,0,0,0,999.00,999.00,999.00,999.00,99999.00
1856,young clster,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,99999.00
1857,young clster,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,99999.00
1858,old cluster,9,9,9,9,9,5,5,5,999.00,999.00,999.00,999.00,-20.00
1859,old cluster,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-15.00
1860,young clster,9,9,9,9,9,9,9,9,999.00,999.00,999.00,999.00,-46.00
1861,young clster,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-77.00
1862,young clster,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-7.00
1863,young clster,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-14.00
1864,young clster,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,99999.00
1865,young clster,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-159.00
1866,interm cluster,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1867,old cluster,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1868,young clster,9,7,7,7,7,0,0,9,21.80,0.05,999.00,999.00,-114.00
1869,young clster,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-29.00
1870,young clster,7,7,7,7,7,0,0,9,999.00,999.00,999.00,999.00,26.00
1871,young clster,9,9,9,9,9,0,0,0,999.00,999.00,999.00,999.00,-87.00
1872,other class,9,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-28.00
1873,old cluster,6,6,6,6,7,0,0,0,999.00,999.00,999.00,999.00,-111.00
1874,other class,6,6,6,6,6,3,3,3,22.06,0.06,999.00,999.00,-64.00
1875,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-54.00
1876,young clster,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1877,old cluster,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1878,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1879,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1880,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1881,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1882,interm cluster,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
