,ac age,fu,fb,fv,fr,fi,fj,fh,fk,nuv,enuv,fuv,efuv,Vr
1416,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-92.00
1417,other class,6,6,6,6,7,0,0,0,999.00,999.00,999.00,999.00,-44.00
1418,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1419,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-156.00
1420,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-21.00
1421,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-54.00
1422,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,-9.00
1423,other class,6,6,6,6,6,0,0,0,20.59,0.03,20.98,0.04,-203.00
1424,other class,7,7,7,7,7,9,9,9,21.53,0.10,999.00,999.00,-56.00
1425,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-82.00
1426,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1427,other class,6,6,6,6,6,9,9,9,21.01,0.05,22.26,0.19,99999.00
1428,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1429,other class,5,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-12.00
1430,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1431,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1432,other class,7,7,7,7,7,0,0,9,999.00,999.00,999.00,999.00,-42.00
1433,other class,7,7,7,7,7,9,9,9,21.71,0.08,999.00,999.00,-90.00
1434,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-151.00
1435,other class,6,6,6,6,6,9,9,9,21.59,0.06,999.00,999.00,99999.00
1436,other class,5,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-47.00
1437,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,-107.00
1438,other class,7,7,7,7,7,0,0,0,20.39,0.04,999.00,999.00,-266.00
1439,other class,6,6,6,6,6,9,9,9,21.42,0.04,999.00,999.00,-91.00
1440,other class,6,6,6,6,6,0,0,0,22.59,0.15,999.00,999.00,-4.00
1441,other class,6,6,6,6,6,0,0,0,999.00,999.00,999.00,999.00,10.00
1442,other class,6,6,6,6,6,9,9,9,22.47,0.20,999.00,999.00,99999.00
1443,other class,7,6,6,6,7,0,0,0,999.00,999.00,999.00,999.00,-45.00
1444,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-53.00
1445,other class,5,7,7,7,7,0,0,9,999.00,999.00,999.00,999.00,-25.00
1446,other class,7,7,7,7,7,0,0,0,21.59,0.04,999.00,999.00,-31.00
1447,other class,5,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-56.00
1448,other class,7,7,7,7,7,0,0,9,21.31,0.04,999.00,999.00,-116.00
1449,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-14.00
1450,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-13.00
1451,other class,7,7,7,7,7,0,0,9,999.00,999.00,999.00,999.00,-55.00
1452,other class,7,7,7,7,7,0,0,9,21.02,0.03,999.00,999.00,-144.00
