,label,fu,fb,fv,fr,fi,fj,nuv,enuv,fuv,efuv,Vr,ra (deg),dec (deg)
1845,foreground,6,6,6,6,6,9,999,999,999,999,-73,11.87,41.9
1846,Candidate GCs ,5,7,7,7,7,0,999,999,999,999,-9,12,41.66
1847,Candidate GCs ,7,7,7,7,7,0,22.99,0.18,999,999,-75,12,41.9
1848,Candidate GCs ,7,7,7,7,7,0,999,999,999,999,-91,12.02,40.14
1849,Candidate GCs ,7,7,7,7,7,0,999,999,999,999,-66,12.04,41.82
1850,Candidate GCs ,6,6,6,6,6,9,999,999,999,999,99999,12.13,42.02
1851,foreground,7,7,7,7,7,9,21.34,0.08,999,999,-71,12.14,41.91
1852,Candidate GCs ,5,7,7,7,7,0,22.19,0.07,22.12,0.09,7,12.18,42.26
1853,Candidate GCs ,7,7,7,7,7,0,999,999,999,999,-80,12.19,41.78
1854,Candidate GCs ,7,7,7,7,7,5,20.84,0.04,999,999,-26,12.3,41.96
1855,foreground,7,7,7,7,7,0,999,999,999,999,-46,12.31,41.02
1856,foreground,7,7,7,7,7,0,999,999,999,999,-68,12.31,41.15
1857,Candidate GCs ,7,7,7,7,7,9,999,999,999,999,-24,12.36,42.1
1858,Candidate GCs ,7,7,7,7,7,0,999,999,999,999,-13,12.4,42.2
1859,foreground,7,7,7,7,7,0,21.02,0.07,999,999,-9,12.79,42.19
1860,foreground,5,5,5,5,5,0,999,999,999,999,-9,8.79,41.73
1861,foreground,5,5,5,5,5,0,999,999,999,999,-25,8.82,41.37
1862,foreground,5,5,5,5,5,0,999,999,999,999,-19,8.83,41.36
1863,foreground,5,5,5,5,5,0,999,999,999,999,-28,8.85,42.11
1864,foreground,5,5,5,5,5,9,21.33,0.06,21.56,0.15,-60,8.86,41.75
1865,foreground,5,5,5,5,5,0,999,999,999,999,-19,8.89,42.12
1866,foreground,5,5,5,5,5,0,999,999,999,999,-42,8.91,42.12
1867,foreground,5,5,5,5,5,9,999,999,999,999,-183,8.94,41.75
1868,foreground,5,5,5,5,5,9,17.92,0.01,18.49,0.02,-266,9.04,41.02
1869,foreground,5,5,5,5,5,0,21.47,0.07,22.06,0.19,99999,9.09,41.74
1870,foreground,5,5,5,5,5,0,999,999,21.99,0.07,-61,9.11,41.73
1871,foreground,5,5,5,5,5,5,23.73,0.32,999,999,-240,9.13,40.62
1872,foreground,5,5,5,5,5,9,999,999,999,999,-316,9.13,41.02
1873,foreground,5,5,5,5,5,9,999,999,999,999,-105,9.14,41.71
1874,foreground,5,5,5,5,5,9,21.47,0.13,21.72,0.18,-511,9.18,41.75
1875,foreground,5,5,5,5,5,5,20.49,0.08,20.9,0.07,-223,9.19,41.01
1876,foreground,5,5,5,5,5,9,21.83,0.09,22.16,0.13,-538,9.19,41.71
1877,foreground,5,5,5,5,5,9,999,999,999,999,-297,9.19,41.35
1878,foreground,5,5,5,5,5,5,999,999,999,999,-221,9.2,42.1
1879,foreground,5,5,5,5,5,9,999,999,999,999,-382,9.2,41.71
1880,foreground,5,5,5,5,5,9,21.87,0.08,22.01,0.11,-140,9.24,40.66
1881,foreground,5,5,5,5,5,5,21.55,0.04,21.87,0.06,-114,9.25,42.08
1882,foreground,5,5,5,5,5,9,999,999,999,999,-8,9.27,41.02
1883,foreground,5,5,5,5,5,9,23.28,1,999,999,-76,9.27,40.62
1884,foreground,5,5,5,5,5,9,999,999,999,999,-176,9.27,41
1885,foreground,5,5,5,5,5,9,999,999,999,999,-890,9.27,42.03
1886,foreground,5,5,5,5,5,9,24.12,0.77,999,999,-21,9.28,41.69
1887,foreground,5,5,5,5,5,5,20.18,0.04,999,999,-397,9.28,41.78
1888,foreground,5,5,5,5,5,5,999,999,999,999,-252,9.29,40.57
1889,foreground,6,6,6,6,5,9,999,999,999,999,-49,9.3,40.29
1890,foreground,5,5,5,5,5,5,999,999,999,999,99999,9.31,41.65
1891,foreground,5,5,5,5,5,9,999,999,999,999,99999,9.31,41.96
1892,foreground,5,5,5,5,5,9,999,999,999,999,99999,9.31,41.71
1893,foreground,5,5,5,5,5,9,999,999,999,999,99999,9.4,41.01
1894,foreground,5,5,5,5,5,9,999,999,999,999,99999,9.42,41.01
1895,foreground,5,5,5,5,5,5,999,999,999,999,99999,9.66,41.39
1896,foreground,5,5,5,5,5,9,999,999,999,999,99999,9.86,41.76
1897,foreground,6,6,6,6,6,9,999,999,999,999,99999,9.99,40.66
1898,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.05,41.86
1899,foreground,6,6,6,6,6,9,999,999,999,999,99999,10.06,41.01
1900,foreground,6,6,6,6,6,9,999,999,999,999,99999,10.07,40.47
1901,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.07,41.39
1902,foreground,6,6,6,6,5,9,999,999,999,999,99999,10.08,40.83
1903,foreground,6,6,6,6,6,9,999,999,999,999,99999,10.1,40.7
1904,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.1,41.38
1905,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.14,40.74
1906,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.15,40.82
1907,foreground,6,6,6,6,6,9,999,999,999,999,99999,10.16,40.85
1908,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.18,40.77
1909,foreground,6,6,6,6,6,9,999,999,999,999,99999,10.2,41.37
1910,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.26,40.64
1911,foreground,6,6,6,6,5,9,999,999,999,999,99999,10.26,40.61
1912,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.26,42.12
1913,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.28,41.36
1914,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.29,41.38
1915,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.29,42.08
1916,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.29,41.75
1917,foreground,6,6,6,6,6,9,999,999,999,999,99999,10.29,41.32
1918,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.3,42.09
1919,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.3,41.76
1920,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.31,42.12
1921,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.31,41.36
1922,foreground,6,6,6,6,6,9,20.17,0.06,20.34,0.08,99999,10.34,41.23
1923,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.34,41.84
1924,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.38,42.08
1925,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.44,41.76
1926,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.48,41.38
1927,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.51,42.08
1928,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.54,41.78
1929,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.57,40.43
1930,foreground,5,5,5,5,5,9,20.57,0.06,20.48,0.06,99999,10.58,42.12
1931,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.59,41.38
1932,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.65,41.75
1933,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.65,42.06
1934,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.66,42.12
1935,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.75,42.1
1936,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.75,41.39
1937,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.75,41.38
1938,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.78,41.37
1939,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.78,42.11
